Branch,Day,Open,Close
Belconnen,Monday,10:00,17:30
Belconnen,Tuesday,10:00,17:30
Belconnen,Wednesday,10:00,17:30
Belconnen,Thursday,10:00,17:30
Belconnen,Friday,10:00,17:30
Belconnen,Saturday,10:00,16:00
Belconnen,Sunday,12:00,16:00
Civic,Monday,10:00,17:30
Civic,Tuesday,10:00,17:30
Civic,Wednesday,10:00,17:30
Civic ,Thursday,10:00,17:30
Civic,Friday,10:00,17:30
Civic,Saturday,10:00,16:00
Civic,Sunday,,
Dickson,Monday,10:00,17:30
Dickson,Tuesday,10:00,17:30
Dickson,Wednesday,10:00,17:30
Dickson,Thursday,10:00,17:30
Dickson,Friday,10:00,20:00
Dickson,Saturday,10:00,16:00
Dickson,Sunday,12:00,16:00
Erindale,Monday,10:00,17:30
Erindale,Tuesday,10:00,17:30
Erindale,Wednesday,10:00,17:30
Erindale,Thursday,10:00,17:30
Erindale,Friday,10:00,17:30
Erindale,Saturday,10:00,16:00
Erindale,Sunday,,
Gungahlin,Monday,10:00,17:30
Gungahlin,Tuesday,10:00,17:00
Gungahlin,Wednesday,10:00,20:00
Gungahlin,Thursday,10:00,17:30
Gungahlin,Friday,10:00,17:30
Gungahlin,Saturday,10:00,16:00
Gungahlin,Sunday,12:00,16:00
Kingston,Monday,,
Kingston,Tuesday,10:00,17:30
Kingston,Wednesday,10:00,17:30
Kingston,Thursday,10:00,17:30
Kingston,Friday,10:00,17:30
Kingston,Saturday,10:00,16:00
Kingston,Sunday,,
Kippax,Monday,10:00,17:30
Kippax,Tuesday,10:00,17:30
Kippax,Wednesday,10:00,17:30
Kippax,Thursday,10:00,17:30
Kippax,Friday,10:00,17:30
Kippax,Saturday,10:00,16:00
Kippax,Sunday,,
Tuggeranong,Monday,10:00,17:30
Tuggeranong,Tuesday,10:00,17:30
Tuggeranong,Wednesday,10:00,17:30
Tuggeranong,Thursday,10:00,17:30
Tuggeranong,Friday,10:00,17:30
Tuggeranong,Saturday,10:00,16:00
Tuggeranong,Sunday,12:00,16:00
Woden,Monday,10:00,20:00
Woden,Tuesday,10:00,17:30
Woden,Wednesday,10:00,17:30
Woden,Thursday,10:00,17:30
Woden,Friday,10:00,17:30
Woden,Saturday,10:00,16:00
Woden,Sunday,12:00,16:00
