Date,Day,Branch,Open,Close,Reason,ReturnChutesOpen
2024-07-01,Monday,Woden,,,Major upgrade works,FALSE
2024-07-02,Tuesday,Woden,,,Major upgrade works,FALSE
2024-07-03,Wednesday,Woden,,,Major upgrade works,FALSE
2024-07-04,Thursday,Woden,,,Major upgrade works,FALSE
2024-07-05,Friday,Woden,,,Major upgrade works,FALSE
2024-07-06,Saturday,Woden,,,Major upgrade works,FALSE
2024-07-07,Sunday,Woden,,,Major upgrade works,FALSE
2024-07-08,Monday,Woden,,,Major upgrade works,FALSE
2024-07-09,Tuesday,Woden,,,Major upgrade works,FALSE
2024-07-10,Wednesday,Woden,,,Major upgrade works,FALSE
2024-07-11,Thursday,Woden,,,Major upgrade works,FALSE
2024-07-12,Friday,Woden,,,Major upgrade works,FALSE
2024-07-13,Saturday,Woden,,,Major upgrade works,FALSE
2024-07-14,Sunday,Woden,,,Major upgrade works,FALSE
2024-07-15,Monday,Woden,,,Major upgrade works,FALSE
2024-07-16,Tuesday,Woden,,,Major upgrade works,FALSE
2024-07-17,Wednesday,Woden,,,Major upgrade works,FALSE
2024-07-18,Thursday,Woden,,,Major upgrade works,FALSE
2024-07-19,Friday,Woden,,,Major upgrade works,FALSE
2024-07-20,Saturday,Woden,,,Major upgrade works,FALSE
2024-07-21,Sunday,Woden,,,Major upgrade works,FALSE
2024-07-22,Monday,Woden,,,Major upgrade works,FALSE
2024-07-23,Tuesday,Woden,,,Major upgrade works,FALSE
2024-07-24,Wednesday,Woden,,,Major upgrade works,FALSE
2024-07-25,Thursday,Woden,,,Major upgrade works,FALSE
2024-07-26,Friday,Woden,,,Major upgrade works,FALSE
2024-07-27,Saturday,Woden,,,Major upgrade works,FALSE
2024-07-28,Sunday,Woden,,,Major upgrade works,FALSE
2024-07-29,Monday,Woden,,,Major upgrade works,FALSE
2024-07-30,Tuesday,Woden,,,Major upgrade works,FALSE
2024-07-31,Wednesday,Woden,,,Major upgrade works,FALSE
2024-08-01,Thursday,Woden,,,Major upgrade works,FALSE
2024-08-02,Friday,Woden,,,Major upgrade works,FALSE
2024-08-03,Saturday,Woden,,,Major upgrade works,FALSE
2024-08-04,Sunday,Woden,,,Major upgrade works,FALSE
2024-08-05,Monday,Woden,,,Major upgrade works,FALSE
2024-08-06,Tuesday,Woden,,,Major upgrade works,FALSE
